
# https://www.bogleheads.org/wiki/Lazy_portfolios
# portfoliocharts

EQ-ID-SB,,GWX,0.004
#EQ-IE-LB,,–,–
EQ-IE-SB,,EWX,0.0065
,,,
EQ-TW-TSM,,SPGM,0.0009
,,,
FI-IT-TBM,,SPAB,0.0003
FI-ST-GOV,,SPTS,0.0006
FI-IT-GOV,,SPTI,0.0006
FI-LT-GOV,,SPTL,0.0006
#FI-ST-IPS,,–,–
FI-IT-IPS,,SPIP,0.0012
#FI-ST-ANY,,–,–
#FI-IT-ANY,,–,–
#FI-LT-ANY,,–,–
,,,
#FI-XUS-IT-TBM,,–,–
,,,
EQ-US-TSM,,VTI,0.0003
EQ-US-LB,,VOO,0.0003
EQ-US-MB,,VO,0.0004
EQ-US-SB,,VB,0.0005
EQ-US-LG,,VUG,0.0004
EQ-US-LV,,VTV,0.0004
EQ-US-SG,,VBK,0.0007
EQ-US-SV,,VBR,0.0007
OTHER-REIT-US,,VNQ,0.0012
,,,
EQ-IG-TSM,,VXUS,0.0008
EQ-IG-LB,,VEU,0.0008
EQ-IG-SB,,VSS,0.0011
EQ-ID-TSM,,VEA,0.0005
EQ-IE-TSM,,VWO,0.001
#EQ-ID-LB,,–,– 
#EQ-ID-SB,,–,– 
#EQ-IE-LB,,–,– 
#EQ-IE-SB,,–,–
,,,
EQ-TW-TSM,,VT,0.0008
,,,
FI-IT-TBM,,BND,0.00035
FI-ST-GOV,,VGSH,0.0005
FI-IT-GOV,,VGIT,0.0005
FI-LT-GOV,,VGLT,0.0005
FI-ST-IPS,,VTIP,0.0005
#FI-IT-IPS,,–,– 
FI-ST-ANY,,BSV,0.0005
FI-IT-ANY,,BIV,0.0005
FI-LT-ANY,,BLV,0.0005
,,,
FI-XUS-IT-TBM,,BNDX,0.0008




#https://www.bogleheads.org/wiki/ETFs_for_Bogleheads

#TODO


